Index,PID,Title,Type,Abstract,Created Date,Genre,Author,DOI,Date,Date Available,Subtype,Place of Publication,Publisher,Keywords,Subject
1,UQ:412374,The urban transport crisis in emerging economies: a comparative overview,Book Chapter,"This chapter reflects on the 12 case studies contained in this book, and identifies some of the key issues, trends, and policy measures which emerge from the previous chapters. Consideration is also given to the lessons that can be learned from these countries and the extent to which they may be generalizable and applicable in other contexts across the world. The chapter is structured according to the main headings used in each of the country-specific chapters.",2016-11-24T12:49:20Z,Book Chapter,"Pojani, Dorina| Stead, Dominic|",10.1007/978-3-319-43851-1_14,2017-01-01T00:00:00Z,2017-01-01T00:00:00Z,"Introduction, foreword, editorial or appendix",New York,Springer International Publishing,Motorize vehicle| Public transport| Public transport service| Traffic congestion| Urban transport|,"3322 Urban Studies| 3305 Geography, Planning and Development|"
2,UQ:732330,The urban transport crisis in emerging economies: an introduction,Book Chapter,"This chapter discusses urban transport issues, policies, and initiatives in [The Urban Transport Crisis in Emerging Economies: An Introduction/Australia]. Consistent with the other case studies, it covers the following set of issues: Urban land-use patterns and spatial structure; Trends in transport use and mobility; Urban transport problems; Urban transport governance, decision-making, and financing; Proposed urban transport solutions and implementation issues; and Other country-specific issues. The object of this framework is to allow for a comparative analysis across the case studies. This book discusses urban transport issues, policies, and initiatives in 12 of the worlds major emerging economiesBrazil, China, Colombia, India, Indonesia, Iran, Mexico, Nigeria, Russia, South Africa, Turkey, and Vietnamcountries with large populations that have recently experienced large changes in urban structure, motorization, and all the associated social, economic, and environmental impacts in positive and negative senses. It documents the worsening transport crisis and differences among these countries in their urban transport and land-use systems. It includes chapters on each of these 12 countries, focusing on one or more major cities per country. In order to present the case studies in a more comparable way, all chapters follow a common format. Each chapter covers the following set of issues: Urban land-use patterns and spatial structure; Trends in transport use and mobility; Urban transport problems; Urban transport governance, decision-making, and financing; Proposed urban transport solutions and implementation issues; and Other country-specific issues. The object of this framework is to help to identify new explanatory factors that may be overlooked in research limited to single cities or nations. By including cities and countries across all continents, the aim is to identify useful lessons on how to achieve urban sustainability goals across the globe.",2018-09-27T07:40:17Z,Book Chapter,"Pojani, Dorina| Stead, Dominic|",10.1007/978-3-319-43851-1_1,2017-01-01T00:00:00Z,,"Introduction, foreword, editorial or appendix","Cham, Switzerland",Springer,Mobility policy| Public transport| Public transport service| South african city| Urban transport|,"3322 Urban Studies| 3305 Geography, Planning and Development|"
3,UQ:685398,Barriers to the pedestrianization of city centres: perspectives from the Global North and the Global South,Journal Article,"Drawing on personal interviews with local planners, this paper examines barriers to the pedestrianization of city centres in two contrasting settings, one in a Global North city (Brisbane, Australia) and the other in a Global South city (Kathmandu, Nepal). These cases are illuminating because Brisbane already contains a popular three-block pedestrian mall in its CBD (Central Business District), but proposals to expand it have not met with support, whereas Kathmandus plans to pedestrianize its busy historic centre have failed so far. While the cultural and economic circumstances of Brisbane and Kathmandu vary significantly, there are similarities as well as differences in their barriers to pedestrianization. The barriers include: (1) opposition from residents and motorists; (2) opposition from local merchants; (3) cost recovery; (4) access of delivery vehicles; (5) management of alternative transport and parking; (6) enforcement; and (7) institutional and political support. These types of barriers are certainly not unique to these two cities. It is very probable that similar issues are encountered in other Global North and Global South cities. It is clear that political, institutional and social barriers are more significant than technical and financial barriers. A dominating car culture is responsible for the general lack of commitment to pedestrianization.",2017-09-18T02:24:38Z,Journal Article,"Parajuli, Ayush| Pojani, Dorina|",10.1080/13574809.2017.1369875,2017-09-15T00:00:00Z,2018-01-01T00:00:00Z,Article (original research),"Abingdon, Oxon, United Kingdom",Routledge,"Geography, Planning and Development| Arts and Humanities (miscellaneous)| Urban Studies|","3305 Geography, Planning and Development| 1201 Arts and Humanities (miscellaneous)| 3322 Urban Studies|"
4,UQ:8b85d0c,"Designing the subtropical city: an evaluation of climate-sensitive policy effects in Brisbane, Australia",Journal Article,"Faced with global warming, Australia aims to wean itself from mechanical approaches to cooling homes. Cities are searching for passive solutions to residential development. These involve the use of porches, basements, natural ventilation, tree shading and the like. In 2016, the Brisbane City Council introduced the New World City Design Guide: Buildings that Breathe (BtB), a non-binding policy document to guide new development in a subtropical climate. The aim of this study was to establish the effectiveness of BtB on overall development outcomes in Brisbane. We found that development applications received after the implementation of the BtB policy incorporated more subtropical design elements than those applications received before the policy. However, overall designers and developers had responded poorly to subtropical design guidance due to various path dependencies. We conclude that discretionary and flexible planning may not be in the public interest in the present era of climate emergency.",2019-12-04T05:39:54Z,Journal Article,"Bhoge, Renuka| Nolan, Hannah| Pojani, Dorina|",10.1080/09640568.2019.1689934,2019-11-27T00:00:00Z,2019-01-01T00:00:00Z,Article (original research),"Abingdon, Oxon, United Kingdom",Routledge,"Geography, Planning and Development| Management, Monitoring, Policy and Law| General Environmental Science| Water Science and Technology| Fluid Flow and Transfer Processes|","3305 Geography, Planning and Development| 2312 Water Science and Technology| 2300 Environmental Science| 1507 Fluid Flow and Transfer Processes| 2308 Management, Monitoring, Policy and Law|"
5,UQ:9f607ef,Parking Behavior: Park n Ride (PnR) to encourage multimodalism in Brisbane,Journal Article,"Park n Ride facilities (PnR) initially emerged to accommodate motorists that would otherwise exhaust the local supply of parking around train stations and other rapid high occupancy vehicle nodes but increasing became a planning strategy to provide commuters from auto-dependent suburbs with access to rapid high occupancy vehicle to reduce their environmental impacts and inner-city road and parking capacity requirements. Theoretically, PnR should influence modal choice by making the transfer between car and rapid transit more convenient yet this base assumption rarely matches the empirical reality. Our synthesis of the PnR literature suggests that motorists deciding whether to park-and-ride have considerations beyond minimising their travel duration and expenses, and we develop a new integrative model of PnR, multi-modalism, and modal choice to illustrate how reliability and competing transport planning strategies such as inter-city mobility, transit-oriented development, and active transport interact and inform modal choice. Upon laying these theoretical foundations, we empirically examine the extent to which developing or modifying PnR influences modal choice in our case study context, Brisbane, Australia. Our research findings suggest that it is new rather than modified PnR that influence modal choice and that new park and riders are typically drawn from nearby locations rather than peripheral and therefore auto-dependent areas. This influence is particularly evident in suburbs closer to the inner city, and is problematic given that these are not the intended users of PnR. Our synthesis and examination of multi-modalism and modal choice has important implications for researchers, planners, and policy makers attempting to influence modal choice and improve the efficiency of urban mobility.",2020-01-23T09:02:38Z,Journal Article,"Kimpton, Anthony| Pojani, Dorina| Sipe, Neil| Corcoran, Jonathan|",10.1016/j.landusepol.2019.104304,2020-02-01T00:00:00Z,2020-01-01T00:00:00Z,Article (original research),"Oxford, United Kingdom",Elsevier,Auto-dependency| Modal choice| Park ‘n’ ride| PnR| Suburbanisation| Transit ridership|,"1107 Forestry| 3305 Geography, Planning and Development| 2309 Nature and Landscape Conservation| 2308 Management, Monitoring, Policy and Law|"
6,UQ:873d063,"Contemporary parking policy, practice, and outcomes in three large Australian cities",Journal Article,"Together, globalisation and urbanisation are accelerating the densification of cities while disruptive technologies such as micro-mobility and ride-hailing are transforming urban mobility. Amidst this change, urban planning officials and practitioners typically remain constrained to the same urban footprint, left to grapple with earlier car-oriented development, and yet must accommodate a growing population and variety of travel modes operating within the same space. Further, they must operate alongside government officials whose re-election could depend upon appeasing suburban residents that are unable or unwilling to relocate along active transport corridors, near public transit nodes, or forgo the flexibility and comfort of private automobiles. As a result, private automobiles can become necessary for traversing urban forms already enlarged by parking, driveways, roads, highways, and flyovers. Likewise, alternatives such as public and active transport can become impractical and dangerous within urban forms that are fragmented by congestion or fast traffic. Given that urban mobility research typically focuses on keeping our pre-existing modal choices moving rather than the side-effects, daily commutes have remained unchanged for decades, and planners are better equipped to continually accommodate rather than influence our modal choices. This volume of Progress in Planning aims to strengthen the evidence base for influencing modal choice by developing a comparative framework of urban mobility, and by examining how parking policy has influenced modal choice within the three largest Australian cities: Brisbane, Sydney, and Melbourne. In addition, it provides reproducible methods for estimating parking supply using land use audits, parking demand using a population census, and geo-statistical modelling for determining whether and where parking policy can explain more sustainable modal choices. As such, this volume sets a research agenda for metropolitan-scale examination and coordination of transport and land use planning for sustainable rather than temporary urban mobility.",2020-06-18T07:53:26Z,Journal Article,"Kimpton, Anthony| Pojani, Dorina| Ryan, Connor| Ouyang, Lisha| Sipe, Neil| Corcoran, Jonathan|",10.1016/j.progress.2020.100506,2020-06-18T00:00:00Z,2020-01-01T00:00:00Z,"Critical review of research, literature review, critical commentary","Oxford, United Kingdom",Elsevier,"Geography, Planning and Development|","3305 Geography, Planning and Development|"
7,UQ:354310,The detriments and benefits of the fall of planning: the evolution of public space in a Balkan post-socialist capital,Journal Article,"The purpose of this paper is to trace the evolution of the concept and role of public spaces in the capital of Albania, Tirana, since the fall of communism almost a quarter of a century ago. During this time, public spaces have undergone a complete transformation, which is examined through a theoretical framework based on under- and over-management critiques of public space. Processes of public space under- and overmanagement are ongoing in Tirana, with neglect, car invasion and space privatization being the most problematic issues. However, the authors argue that both undermanagement and over-management have had benefits as well as harm, in terms of urban diversity (economic and visual) and security.",2015-03-20T13:52:55Z,Journal Article,"Pojani, Dorina| Maci, Giulia|",10.1080/13574809.2015.1009013,2015-01-01T00:00:00Z,2015-01-01T00:00:00Z,Article (original research),"Abingdon, Oxon, United Kingdom",Routledge,"Geography, Planning and Development| Arts and Humanities (miscellaneous)| Urban Studies|","3305 Geography, Planning and Development| 1201 Arts and Humanities (miscellaneous)| 3322 Urban Studies|"
8,UQ:732723,Research Productivity of Australian Planning Academics: A Bibliometric Analysis,Journal Article,"The development of global metrics for evaluating university research performance has been accompanied by increasing attention to key performance metrics for individual disciplines. This paper examines research performance metrics for Australian planning academics. It addresses questions related to programs, staff, publications, and citations. The main findings are the following: Wide gender gaps exist in Australian planning academia; the mean number of publications is 36 per person, or 3 per person per year; the mean number of citations is 527 per person, or 48 per person per year; and planning journal impact factors are low (less than 3).",2018-10-22T01:55:32Z,Journal Article,"Pojani, Dorina| Olvera Garcia, Jaime| Sipe, Neil| Byrne, Jason|",10.1177/0739456X18804330,2018-10-15T00:00:00Z,,Article (original research),"Thousand Oaks, CA, United States",Sage Publications,"Geography, Planning and Development| Development| Urban Studies|","3305 Geography, Planning and Development| 3303 Development| 3322 Urban Studies|"
9,UQ:366822,Do the north and the south share a cycling mindset?,Conference Paper,"Many Southern European cities are now working to encourage bicycle use for commuting. In search of effective strategies, they often study best practices from elsewhere. Dutch cities are a prime example of bike use in Europe. However, in order to assess the likely success of transferring measures, an accurate comparison of the bicycling context is needed. This study explores the similarities and differences in attitudes and beliefs about the decisions to commute by bicycle to work in three small, cycling-oriented cities: Gouda (The Netherlands), Shkodra (Albania), and Peja (Kosovo). As almost everywhere in the Netherlands, cycling conditions are good in Gouda. Shkodra has one of the highest levels of cycling in the Balkan region and Peja is striving to improve its urban amenities for sustainable transport modes. The analysis is based on 45 in-depth interviews with volunteers in the selected cities (15 in each city).",2015-08-07T09:23:13Z,Conference Paper,"Pojani, Dorina| Bakija, Dukagjin| Shkreli, Entela|",10.3390/ifou-D012,2015-01-01T00:00:00Z,2015-01-01T00:00:00Z,Fully published paper,"Basel, Switzerland",MDPI AG,Cycling| Work commute| Behavioral studies| Cultural aspects| Policy transfer|,
10,UQ:377676,Multi-family housing management in postsocialist countries: the Albanian experience,Journal Article,"Condominium maintenance is a critical issue in Albania. After the fall of communism, the ownership and maintenance responsibilities of hundreds of thousands of flats that were constructed and owned by the state was transferred to their occupants. In the capital, Tirana, there was also a huge wave of new condominium construction after 1990. A new law on the management and maintenance of condominium building was recently adopted and is in the early stages of implementation. This article discusses how residents of condominiums actually manage the maintenance of their buildings in Tirana. It reveals that condominium laws have had little impact and that the performance of maintenance tasks is based on informal and often ad-hoc agreements, in keeping with the cultural norms of the society and the actual financial situation of the residents.",2016-01-25T09:34:40Z,Journal Article,"Pojani, Dorina| Baar, Kenneth|",10.1007/s10901-016-9498-1,2016-01-21T00:00:00Z,2016-12-01T00:00:00Z,Article (original research),"Dordrecht, Netherlands",Springer,Condominium maintenance| Condominium management| Tirana| Albania| Post-communist countries| Eastern Europe|,"3305 Geography, Planning and Development| 3322 Urban Studies|"
